param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.07,98.44,100.0,0.24,91.5,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.04,98.83,100.0,0.2,94.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.02,99.87,100.0,0.16,95.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.04,99.48,100.0,0.25,93.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.02,99.87,100.0,0.19,94.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.02,99.48,100.0,0.25,94.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.02,99.61,100.0,0.34,92.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.02,99.74,100.0,0.32,94.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.02,99.61,100.0,0.18,95.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.02,99.09,100.0,0.21,95.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.02,99.48,100.0,0.15,96.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.01,99.87,100.0,0.19,96.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.0,99.87,100.0,0.15,96.5,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.01,100.0,100.0,0.21,94.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.01,99.48,100.0,0.28,94.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.0,100.0,100.0,0.25,94.5,100.0
