param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.34,93.62,99.74,0.4,89.0,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.34,91.93,99.74,0.38,89.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.31,93.62,100.0,0.39,89.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.31,93.36,100.0,0.37,89.0,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.25,95.44,100.0,0.37,88.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.27,95.83,99.87,0.39,85.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.26,95.18,100.0,0.38,87.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.25,95.05,99.87,0.39,86.0,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.26,95.05,100.0,0.43,83.5,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.26,94.01,100.0,0.39,87.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.08,98.31,99.87,0.28,91.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.08,97.92,100.0,0.29,92.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.07,98.57,100.0,0.25,91.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.07,98.57,100.0,0.26,91.5,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.06,98.18,100.0,0.22,93.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.08,98.18,99.87,0.24,93.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.05,99.09,100.0,0.2,94.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.06,98.44,100.0,0.26,91.0,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.05,98.7,100.0,0.22,93.5,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.06,98.57,99.87,0.23,90.0,100.0
