param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.08,97.92,100.0,0.86,77.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.09,97.14,100.0,0.77,78.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,1.3,80.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.0,99.74,100.0,1.36,81.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.07,97.01,100.0,1.08,75.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.06,98.44,100.0,0.99,78.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,1.51,80.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,1.42,79.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.05,98.7,100.0,1.08,79.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.05,98.57,100.0,0.92,82.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,1.38,79.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,1.46,79.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.03,99.35,100.0,1.06,80.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.03,99.22,100.0,1.03,79.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,1.66,80.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,1.39,80.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.01,99.74,100.0,1.11,80.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,1.14,80.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,1.68,69.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,1.5,78.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.02,99.61,100.0,1.2,80.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,1.36,71.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,1.48,80.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,1.64,77.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,1.35,77.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.03,99.09,100.0,1.17,79.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,1.42,81.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,1.59,78.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,1.28,79.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,1.28,79.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,1.53,80.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.02,99.35,100.0,1.61,81.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.01,100.0,100.0,1.11,82.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.0,99.87,100.0,1.29,81.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,1.24,81.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.0,99.87,100.0,1.46,80.0,100.0
