param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.03,99.61,100.0,0.95,83.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.05,98.44,100.0,1.05,78.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.48,100.0,1.37,83.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,1.43,80.5,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,1.22,80.5,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,1.03,84.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",0.2,94.79,100.0,4.25,41.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",1.3,33.46,100.0,1.29,18.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.02,99.61,100.0,1.18,81.5,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.0,100.0,100.0,1.29,80.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",1.15,43.1,100.0,1.13,43.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",1.29,36.46,100.0,1.27,24.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,1.31,79.0,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,1.24,81.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",1.17,39.97,100.0,1.18,24.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",1.22,41.28,100.0,1.23,30.0,100.0
