param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.09,97.01,100.0,1.06,77.5,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.09,97.53,100.0,1.19,76.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.06,98.05,100.0,1.25,78.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.06,98.83,100.0,1.29,76.0,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.02,99.61,100.0,1.53,75.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.02,99.48,100.0,1.65,71.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.02,99.35,100.0,1.27,81.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.03,99.22,100.0,1.5,74.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.03,99.35,100.0,1.38,79.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.04,99.09,100.0,1.24,80.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.02,99.61,100.0,1.61,76.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.03,98.83,100.0,1.62,77.5,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.01,99.61,100.0,1.97,76.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.01,99.74,100.0,1.4,84.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.01,99.74,100.0,1.92,73.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.02,99.48,100.0,1.5,82.0,100.0
