param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.48,83.85,100.0,0.86,60.5,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.51,80.99,100.0,0.81,63.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.46,84.77,100.0,0.96,55.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.45,84.51,100.0,0.96,59.0,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.4,86.2,100.0,0.96,61.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.4,86.72,100.0,0.98,60.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.36,88.28,100.0,0.81,66.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.37,88.67,100.0,0.95,62.5,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.3,91.28,100.0,0.9,64.0,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.35,89.84,100.0,0.94,62.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.24,91.54,100.0,0.76,70.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.27,89.97,100.0,0.74,74.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.23,92.84,100.0,0.9,66.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.24,91.67,100.0,0.88,63.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.17,94.79,100.0,1.0,64.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.19,93.62,100.0,0.8,70.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.15,96.09,100.0,1.23,65.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.18,94.4,100.0,1.05,65.0,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.15,95.31,100.0,1.11,66.5,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.15,95.05,100.0,0.81,68.5,100.0
