param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.04,99.87,100.0,0.05,99.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.05,100.0,100.0,0.05,99.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.01,100.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.03,99.5,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.03,99.87,100.0,0.04,99.5,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.03,100.0,100.0,0.03,100.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.05,99.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.03,99.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.04,99.5,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.02,100.0,100.0,0.04,99.5,100.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",4.56,1.82,10.29,4.62,1.0,7.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",3.93,9.9,30.21,4.34,4.0,16.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.03,99.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.02,100.0,100.0,0.03,99.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",4.6,1.3,7.94,4.62,2.5,9.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",4.04,8.2,28.26,4.21,6.5,19.0
