param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.14,99.22,100.0,0.12,97.5,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.12,99.74,100.0,0.12,97.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.13,99.61,100.0,0.11,99.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.14,99.09,99.87,0.13,98.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.12,99.74,100.0,0.12,98.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.1,100.0,100.0,0.13,97.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.11,99.74,100.0,0.13,98.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.11,99.61,100.0,0.12,98.0,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.11,100.0,100.0,0.12,98.5,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.11,99.48,100.0,0.12,97.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.01,99.87,100.0,0.04,99.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.01,99.87,100.0,0.03,99.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.01,99.87,100.0,0.03,99.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.02,99.87,99.87,0.04,99.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.02,99.61,100.0,0.04,98.5,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.01,100.0,100.0,0.04,99.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.01,99.87,100.0,0.05,98.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.02,99.74,100.0,0.03,99.0,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.01,99.87,100.0,0.05,98.0,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.01,99.87,100.0,0.04,98.0,100.0
