param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.08,98.83,100.0,0.2,93.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.08,99.22,100.0,0.19,93.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.22,93.0,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.23,93.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.09,98.96,99.87,0.21,93.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.09,99.35,99.87,0.21,93.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.23,95.0,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.23,93.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.04,100.0,100.0,0.25,93.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.04,99.87,100.0,0.24,92.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.26,93.0,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.23,93.5,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.04,99.74,100.0,0.24,91.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.05,99.61,100.0,0.26,92.0,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.25,93.0,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.3,92.5,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.02,99.87,100.0,0.32,90.0,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.03,100.0,100.0,0.3,91.0,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.37,93.5,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.26,94.0,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.3,91.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.02,99.74,100.0,0.31,91.0,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.34,93.5,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.35,93.5,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.01,100.0,100.0,0.35,90.5,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.01,100.0,100.0,0.33,92.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.34,89.0,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.37,90.0,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,0.47,90.0,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.01,100.0,100.0,0.36,92.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.35,88.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.38,90.0,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.01,100.0,100.0,0.47,85.0,98.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.01,100.0,100.0,0.53,86.0,98.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",3.1,15.89,42.45,3.89,7.0,23.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",3.08,13.41,44.01,3.77,6.5,22.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.01,100.0,100.0,0.48,85.5,99.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,0.49,85.5,98.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",3.42,6.38,28.26,3.64,6.5,19.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",3.6,3.91,17.32,3.62,1.5,15.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.06,99.61,100.0,0.21,92.5,99.5
