param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.05,99.48,100.0,0.22,92.5,99.5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.06,99.61,100.0,0.24,93.0,99.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.24,93.5,99.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.23,93.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.02,99.74,100.0,0.35,90.0,99.5
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.02,99.61,100.0,0.36,90.0,99.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",3.13,12.11,42.58,4.16,6.0,22.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",3.52,7.03,25.39,3.59,3.5,19.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.39,89.5,99.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.01,100.0,100.0,0.36,92.0,99.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",2.74,16.41,56.12,4.52,8.5,23.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",3.57,4.56,20.31,3.62,2.0,12.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.01,100.0,100.0,0.42,89.5,99.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.01,100.0,100.0,0.47,88.5,99.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",3.6,4.04,18.1,3.62,2.0,13.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",3.52,5.6,23.7,3.58,4.5,18.0
