param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.07,99.48,100.0,0.24,91.0,99.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.06,99.09,100.0,0.23,92.0,99.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.06,99.09,100.0,0.26,93.0,99.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.05,99.48,100.0,0.26,94.0,99.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.03,99.61,100.0,0.33,92.5,99.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.03,99.74,100.0,0.38,90.5,98.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.03,99.61,100.0,0.4,91.5,99.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.02,99.87,100.0,0.41,91.5,99.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.02,99.61,100.0,0.23,94.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.01,99.74,100.0,0.2,93.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.02,99.61,99.87,0.29,91.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.01,100.0,100.0,0.22,93.5,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.01,99.87,100.0,0.32,93.5,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.01,99.74,100.0,0.32,91.5,99.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.01,99.87,100.0,0.32,93.5,99.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.01,99.87,100.0,0.35,93.0,99.5
