param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.28,95.57,100.0,0.31,92.0,99.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.26,96.88,99.87,0.32,91.5,99.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.27,96.88,99.74,0.31,91.5,99.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.27,96.35,99.74,0.33,90.0,99.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.2,98.31,100.0,0.32,92.5,99.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.23,97.27,100.0,0.3,92.5,99.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.19,97.66,100.0,0.35,90.0,99.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.2,98.18,100.0,0.32,91.0,99.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.21,97.01,100.0,0.33,90.0,99.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.21,96.88,99.74,0.32,91.0,99.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.04,99.35,100.0,0.21,93.5,99.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.04,99.09,100.0,0.22,93.5,98.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.03,99.74,100.0,0.24,93.5,99.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.05,99.22,99.87,0.21,94.0,99.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.06,99.09,99.87,0.23,92.5,99.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.03,99.87,100.0,0.24,91.5,99.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.03,99.74,100.0,0.24,92.5,98.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.03,99.74,99.87,0.25,92.0,98.5
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.03,99.74,100.0,0.25,92.0,99.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.03,99.48,100.0,0.23,94.5,98.5
