param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.05,98.44,100.0,0.37,90.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.07,98.44,100.0,0.5,88.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.9,89.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.78,88.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.04,98.96,100.0,0.42,89.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.04,98.96,100.0,0.41,88.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.53,91.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.57,90.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.01,99.61,100.0,0.6,89.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.04,98.96,100.0,0.53,88.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.6,89.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,0.73,87.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.02,99.48,100.0,0.48,88.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.03,99.09,100.0,0.45,89.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.79,90.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.0,99.74,100.0,0.76,87.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.0,99.87,100.0,0.6,89.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.02,99.61,100.0,0.57,89.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.68,88.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.66,88.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,0.63,88.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.77,87.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.67,89.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.57,89.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,0.57,91.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,0.81,86.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.73,85.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.16,95.18,100.0,0.55,75.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,0.81,87.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.0,99.87,100.0,0.74,88.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.01,99.61,100.0,0.85,82.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.83,84.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,0.59,87.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.0,100.0,100.0,0.91,82.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.37,84.11,100.0,0.48,75.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.37,83.72,100.0,0.48,78.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,0.92,86.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.0,99.87,100.0,0.65,86.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.69,50.52,100.0,0.69,48.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 100, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.37,83.98,100.0,0.51,75.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.04,98.7,100.0,0.45,89.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.04,98.44,100.0,0.5,89.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.76,88.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.01,99.48,100.0,0.73,88.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.02,99.35,100.0,0.5,88.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.04,98.83,100.0,0.45,89.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.6,89.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.0,99.87,100.0,0.63,89.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.01,99.61,100.0,0.58,90.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.02,99.22,100.0,0.52,89.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.73,89.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.68,91.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,0.44,90.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.5,88.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.68,88.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.62,89.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,0.67,88.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.73,86.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.74,88.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.82,87.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,0.65,86.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.0,100.0,100.0,0.69,88.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.73,87.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.06,98.7,100.0,1.15,74.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,0.81,88.0,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.0,100.0,100.0,0.85,85.5,100.0
"{'convpass_bottleneck': 16, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,1.5,77.5,100.0
