param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.02,99.09,100.0,0.49,89.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.03,98.7,100.0,0.55,89.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.73,86.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.81,87.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,0.65,89.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.55,89.5,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",0.64,63.15,100.0,0.6,66.5,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",0.48,78.78,100.0,0.56,73.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.01,99.74,100.0,0.58,88.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.56,87.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",0.69,60.42,100.0,0.69,71.5,100.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",0.69,52.99,100.0,0.69,52.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,0.68,86.0,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,0.8,88.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",0.69,55.6,100.0,0.68,56.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",0.69,59.64,100.0,0.68,60.5,100.0
