param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.22,91.67,100.0,0.3,87.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.21,90.62,100.0,0.3,86.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.03,99.22,100.0,0.71,86.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.04,98.83,100.0,0.53,87.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.09,96.61,100.0,0.55,84.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.11,95.7,100.0,0.52,84.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.67,87.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.48,100.0,0.73,88.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.03,98.7,100.0,0.68,87.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.04,98.44,100.0,0.58,88.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.48,100.0,0.58,86.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,1.14,83.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.01,99.61,100.0,0.61,87.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.6,87.5,100.0
