param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.11,96.22,100.0,0.42,86.5,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.1,96.35,100.0,0.54,86.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.08,97.14,100.0,0.66,83.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.08,97.27,100.0,0.69,86.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.02,99.22,100.0,0.74,87.0,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.01,99.61,100.0,0.8,86.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.02,99.48,100.0,0.74,86.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.02,98.96,100.0,0.72,86.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.04,98.83,100.0,0.76,85.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.04,98.31,100.0,0.7,88.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.02,99.09,100.0,0.58,87.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.03,98.83,100.0,0.54,87.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.01,99.61,100.0,0.97,85.5,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.02,99.48,100.0,0.94,85.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.01,99.48,100.0,0.65,88.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.01,99.61,100.0,0.67,86.0,100.0
