param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.35,85.81,100.0,0.35,84.0,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.36,83.07,100.0,0.34,85.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.33,86.07,100.0,0.34,84.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.33,86.46,100.0,0.32,83.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.3,86.98,100.0,0.34,85.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.28,89.84,100.0,0.35,84.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.3,88.02,100.0,0.35,85.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.29,87.24,100.0,0.35,84.0,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.24,92.19,100.0,0.36,82.5,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.28,89.45,100.0,0.37,82.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.22,91.41,100.0,0.34,83.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.23,89.45,100.0,0.3,84.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.19,93.23,100.0,0.36,84.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.21,92.97,100.0,0.34,86.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.12,95.7,100.0,0.39,88.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.15,95.7,100.0,0.47,83.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.1,96.61,100.0,0.31,88.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.09,97.53,100.0,0.4,84.0,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.07,98.44,100.0,0.48,83.5,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.09,97.27,100.0,0.4,87.5,100.0
