param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.18,98.44,100.0,0.59,81.5,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.2,97.92,100.0,0.59,81.0,96.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.61,84.5,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.64,83.0,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.14,98.96,100.0,0.57,81.5,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.15,98.96,99.87,0.57,82.5,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.54,84.5,99.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.73,82.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.12,99.22,99.87,0.54,82.5,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.11,98.96,99.87,0.53,83.5,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.63,85.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.69,85.0,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.09,99.09,100.0,0.57,83.0,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.09,99.09,100.0,0.54,82.5,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.67,85.5,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.76,85.0,96.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.06,99.22,100.0,0.51,84.5,98.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.06,99.61,99.87,0.59,83.0,97.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.64,86.5,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.67,86.5,98.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.03,99.87,100.0,0.57,84.0,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.03,99.87,100.0,0.56,83.5,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.5,87.0,98.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.83,84.0,96.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.05,99.74,100.0,0.55,84.0,97.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.06,99.74,100.0,0.56,83.5,97.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.82,83.0,97.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.73,84.5,98.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.03,99.87,100.0,0.59,82.5,97.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.03,100.0,100.0,0.56,82.5,97.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.63,86.0,98.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.72,84.0,97.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.52,83.0,99.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.02,99.87,100.0,0.61,83.0,99.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.77,86.5,96.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,0.67,86.5,98.5
