param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.33,95.31,99.48,0.64,81.0,97.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.3,97.92,99.61,0.64,82.0,98.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.74,100.0,0.57,85.0,96.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.02,99.74,100.0,0.6,84.0,97.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.19,98.7,99.87,0.6,82.0,99.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.19,97.53,100.0,0.58,83.0,97.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.63,80.5,97.5
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.58,84.5,98.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.14,99.35,100.0,0.62,80.0,96.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.17,98.31,99.87,0.59,83.5,96.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.69,82.0,98.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.6,83.5,97.5
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.09,99.09,99.87,0.55,85.0,98.5
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.08,98.7,100.0,0.63,82.0,97.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.61,81.5,98.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,0.64,83.0,97.0
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.05,99.61,99.87,0.63,79.0,98.5
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.05,99.87,100.0,0.67,83.0,95.5
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",3.74,4.3,19.79,3.82,2.5,10.5
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",3.79,3.26,13.93,3.83,2.0,9.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.24,97.27,99.87,0.6,82.5,96.5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.22,97.79,100.0,0.58,82.5,97.5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.57,84.5,98.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.53,85.5,98.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.13,98.83,100.0,0.52,85.0,98.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.12,99.48,100.0,0.48,86.0,98.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.53,85.5,96.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.56,84.5,98.0
