param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.11,98.96,100.0,0.55,82.5,98.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.12,98.57,100.0,0.56,83.5,98.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.71,82.0,97.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.63,83.5,97.5
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.03,99.87,100.0,0.58,84.0,98.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.04,99.61,99.87,0.61,82.0,98.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",3.34,10.29,36.2,3.69,6.5,24.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",2.82,21.35,54.69,3.53,11.0,35.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.62,83.0,98.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.02,99.74,100.0,0.61,81.5,99.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",3.69,7.68,21.61,3.74,5.5,19.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",3.33,10.03,35.68,3.61,8.0,27.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.01,100.0,100.0,0.49,87.5,99.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.01,100.0,100.0,0.58,87.0,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",3.74,4.3,18.23,3.8,2.5,13.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",3.6,5.99,23.83,3.72,4.0,17.0
