param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.4,93.75,99.35,0.62,83.5,96.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.4,93.75,99.61,0.63,81.0,96.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.87,99.87,0.58,85.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.61,85.5,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.19,98.7,100.0,0.57,83.0,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.22,98.05,99.61,0.55,84.0,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.72,83.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.68,85.5,96.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.08,99.09,99.74,0.53,83.0,99.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.07,99.48,100.0,0.57,81.5,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.58,85.0,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.57,85.5,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.04,99.74,100.0,0.58,85.0,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.05,99.09,100.0,0.56,81.5,99.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.02,99.87,100.0,0.58,84.0,99.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.03,99.35,99.87,0.59,85.0,97.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.32,95.83,99.61,0.63,82.0,96.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.35,93.36,99.74,0.6,80.5,97.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.57,86.0,98.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.02,99.48,100.0,0.59,85.5,97.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.13,98.96,99.87,0.56,79.5,97.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.18,97.53,99.87,0.57,81.5,98.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.68,85.0,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.6,85.5,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.05,99.22,100.0,0.63,83.0,98.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.04,99.48,99.74,0.59,82.0,95.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.56,84.5,97.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.62,85.5,97.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.04,99.48,100.0,0.61,86.5,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.03,99.87,100.0,0.58,86.0,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.02,99.74,100.0,0.56,83.5,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",3.34,7.03,30.21,3.45,6.5,25.0
