param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.09,99.74,100.0,0.52,85.0,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.1,99.09,100.0,0.6,81.5,97.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.03,99.74,100.0,0.56,84.0,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.04,99.48,100.0,0.54,86.0,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",0.02,100.0,100.0,0.62,82.5,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",0.03,99.74,99.87,0.53,85.0,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",0.01,99.87,100.0,0.6,84.5,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",0.01,100.0,100.0,0.63,84.5,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",0.01,100.0,100.0,0.68,81.0,97.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",0.01,100.0,100.0,0.59,86.0,97.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.08,98.96,99.87,0.56,85.5,97.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.06,99.74,100.0,0.53,84.0,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.02,100.0,100.0,0.55,86.0,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.03,99.87,99.87,0.64,82.5,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.0001}",0.02,100.0,100.0,0.57,83.5,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.001}",0.02,100.0,100.0,0.61,84.0,97.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.0001}",0.01,100.0,100.0,0.58,84.5,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.001}",0.01,100.0,100.0,0.49,87.0,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.0001}",0.01,100.0,100.0,0.6,85.5,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.001}",0.01,100.0,100.0,0.78,81.5,97.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.03,99.74,100.0,0.51,85.5,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.04,99.87,100.0,0.6,83.0,97.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.02,100.0,100.0,0.65,82.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.01,100.0,100.0,0.67,84.0,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.0001}",0.01,100.0,100.0,0.6,85.5,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.001}",0.01,100.0,100.0,0.64,86.5,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.0001}",0.01,100.0,100.0,0.76,80.0,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.001}",0.02,99.74,100.0,0.71,85.0,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.0001}",0.01,99.87,100.0,0.78,81.5,97.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.001}",0.01,100.0,100.0,0.9,80.0,96.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.0,100.0,100.0,0.6,86.0,97.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.0,100.0,100.0,0.58,87.0,98.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.0,100.0,100.0,0.57,85.0,97.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.0,100.0,100.0,0.67,80.5,96.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",0.0,100.0,100.0,0.68,84.0,97.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",0.01,99.74,100.0,0.75,80.0,96.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",3.49,8.07,28.39,3.66,4.5,20.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",3.78,2.73,15.36,3.83,2.0,10.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",3.61,4.95,23.31,3.72,3.5,15.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",3.79,3.52,14.32,3.83,2.0,9.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.0,100.0,100.0,0.63,84.0,99.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.0,100.0,100.0,0.57,86.5,98.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.01,99.87,100.0,1.29,70.5,95.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.001}",2.97,16.02,51.3,3.36,12.5,42.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.0001}",2.95,18.88,50.13,3.59,8.5,29.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.001}",3.51,7.55,27.08,3.67,6.5,20.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.0001}",3.66,5.99,23.05,3.77,3.0,16.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.001}",3.58,7.81,25.0,3.65,6.0,22.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.0001}",3.78,3.65,15.62,3.83,2.0,10.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.001}",3.78,4.69,16.02,3.82,2.0,9.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.0,100.0,100.0,0.67,83.5,98.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.0,100.0,100.0,0.65,85.5,98.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.0001}",3.76,3.39,18.62,3.81,3.5,14.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.001}",3.78,3.12,16.54,3.83,2.0,9.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.0001}",3.54,6.38,25.91,3.63,5.5,24.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.001}",3.43,7.94,32.03,3.63,6.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.0001}",3.59,5.08,26.43,3.67,4.0,18.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.001}",3.54,9.24,28.52,3.68,7.5,24.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.0001}",3.72,4.04,19.4,3.75,4.0,18.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.001}",3.52,5.73,27.86,3.62,6.5,23.0
