param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.24,96.61,99.61,0.58,80.5,97.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.22,97.27,99.87,0.62,83.0,98.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.18,97.14,99.87,0.71,77.0,98.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.18,97.79,99.61,0.64,79.5,99.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.08,99.22,99.87,0.8,73.0,99.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.06,99.74,100.0,0.82,79.5,98.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.06,99.35,100.0,0.89,79.0,95.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.06,99.48,100.0,0.96,77.5,97.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.03,99.35,99.87,0.52,85.5,98.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.03,99.22,100.0,0.55,84.0,98.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.02,99.48,100.0,0.59,84.5,98.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.01,99.87,100.0,0.58,81.5,98.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.01,99.87,100.0,0.67,84.0,97.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.01,99.74,100.0,0.72,83.0,98.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.01,99.87,100.0,0.58,85.0,99.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.01,99.74,100.0,0.63,84.0,97.0
