param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.75,88.8,98.31,1.14,68.5,91.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.74,87.76,98.96,1.17,67.0,92.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.73,88.41,98.57,1.12,69.0,93.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.71,88.93,99.09,1.14,69.5,91.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.65,90.76,98.7,1.05,71.0,94.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.66,90.49,98.57,1.04,70.5,95.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.64,91.41,99.35,1.02,73.0,95.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.63,91.93,99.48,1.02,70.0,94.5
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.64,90.49,98.57,1.03,73.0,94.5
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.62,91.41,98.96,1.0,72.5,95.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.11,97.79,99.74,0.88,75.5,96.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.12,98.18,99.48,0.92,75.0,95.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.1,98.7,99.87,0.9,75.0,95.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.11,98.44,99.61,0.9,73.5,95.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.1,98.18,99.74,0.86,75.0,97.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.09,98.44,99.87,0.85,74.0,96.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.09,98.57,99.87,0.84,77.5,97.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.09,98.57,100.0,0.82,78.0,96.5
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.07,99.48,100.0,0.85,78.0,97.5
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.08,99.48,99.87,0.8,78.5,96.5
