param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",1.26,70.05,95.96,2.81,13.0,52.5
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",1.13,75.39,97.14,2.89,12.0,52.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.12,97.79,99.87,4.18,14.5,57.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.11,97.4,99.74,4.42,17.0,56.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.86,82.03,97.79,2.92,15.0,58.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.8,83.2,98.57,2.95,18.5,56.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.05,99.35,100.0,4.61,20.5,64.5
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.05,98.44,100.0,4.75,19.0,60.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.59,89.84,99.22,3.07,16.0,64.5
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.6,86.98,99.09,3.22,16.5,62.5
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.04,99.35,100.0,4.61,19.5,67.5
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.05,99.22,100.0,4.87,16.0,66.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.32,94.27,99.22,3.95,13.0,61.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.31,94.01,99.48,3.99,19.0,63.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.88,6.64,33.33,2.91,8.5,27.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.88,6.51,34.38,2.91,3.0,27.0
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.11,98.05,100.0,4.49,19.0,65.5
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.17,96.35,99.87,4.88,20.0,60.0
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",2.88,7.16,33.2,2.91,8.5,27.0
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",2.88,7.16,32.94,2.9,8.5,27.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.83,84.51,98.96,2.79,16.0,56.5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.84,83.07,99.09,2.85,15.0,58.5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.04,99.22,100.0,4.81,16.0,59.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.04,99.74,100.0,5.1,12.5,58.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.51,91.02,99.48,3.17,14.5,65.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.53,91.02,99.22,3.22,13.5,56.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.03,99.61,99.87,4.87,18.0,62.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.03,99.22,99.74,5.05,14.0,59.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.28,96.61,99.48,3.88,15.5,61.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.27,95.83,99.74,3.95,16.0,65.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,5.3,18.0,66.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.02,99.61,99.87,5.11,19.0,69.0
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.08,98.7,99.74,4.64,20.5,64.5
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.1,97.79,99.87,4.67,21.5,63.5
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.88,6.38,32.68,2.91,8.5,27.0
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.88,7.68,33.33,2.91,8.5,27.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.06,98.96,99.74,5.13,17.0,62.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.04,98.96,100.0,5.22,17.5,62.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",2.88,7.03,33.98,2.91,8.5,27.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",2.88,6.51,33.59,2.9,8.5,27.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.5,91.28,99.22,3.12,13.5,64.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.47,92.06,99.74,3.14,13.5,60.5
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,5.16,17.0,62.5
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.02,99.74,100.0,5.04,15.5,62.5
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.28,96.09,99.48,3.77,13.5,62.0
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.27,96.22,99.87,3.73,21.0,65.0
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,5.57,16.0,64.0
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.02,99.48,100.0,5.73,20.0,62.0
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.1,98.05,100.0,4.48,22.5,63.5
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.08,98.96,100.0,4.69,16.0,66.0
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",2.88,6.9,33.2,2.9,8.5,27.0
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",2.88,6.12,32.68,2.91,8.5,27.0
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.02,99.74,100.0,5.35,17.0,63.0
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.03,99.22,100.0,5.18,16.5,60.0
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.88,6.9,33.46,2.91,8.5,27.0
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.88,7.42,32.55,2.91,8.5,27.0
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.02,99.61,100.0,4.99,21.5,67.0
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.02,99.74,100.0,5.24,22.0,62.0
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",2.88,7.03,33.2,2.91,8.5,27.0
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",2.88,6.51,33.85,2.9,8.5,27.0
