param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.37,94.01,99.22,3.4,14.0,67.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.4,93.23,99.74,3.28,16.5,68.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.04,99.48,100.0,4.53,17.5,65.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.05,98.96,100.0,4.87,16.0,61.5
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.07,99.35,100.0,4.46,19.5,70.5
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.09,98.83,99.87,4.65,22.0,66.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",2.17,23.96,74.87,3.35,5.5,36.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",2.88,7.55,32.55,2.9,8.5,27.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.05,99.35,100.0,4.59,20.0,70.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.03,99.61,100.0,5.03,15.0,66.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",2.54,14.58,55.21,2.9,6.5,40.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",2.88,7.94,32.94,2.91,8.5,27.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.04,99.48,100.0,4.72,20.0,71.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.03,99.74,100.0,5.04,18.5,69.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",2.51,17.84,59.9,3.14,6.5,36.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",2.88,7.03,33.85,2.9,8.5,27.0
