param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.3,95.83,99.87,3.69,15.5,67.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.34,94.01,99.74,3.68,17.0,65.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.1,98.83,100.0,4.62,18.0,61.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.12,97.66,99.87,4.33,16.0,64.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",0.08,98.83,100.0,4.63,17.5,69.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",0.07,98.83,100.0,4.73,17.5,68.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",0.04,99.09,100.0,4.74,21.0,67.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",0.03,99.48,99.87,4.89,20.0,67.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",0.03,99.87,100.0,4.84,21.0,71.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",0.04,99.74,100.0,4.77,19.5,69.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.19,97.4,99.61,3.98,19.0,65.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.2,96.22,99.87,3.78,20.0,68.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.07,98.7,100.0,4.62,20.0,65.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.06,98.96,100.0,4.55,21.0,67.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.0001}",0.03,99.35,100.0,4.74,18.5,67.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.001}",0.05,99.22,99.87,5.0,15.0,64.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.0001}",0.02,99.74,100.0,5.18,23.5,60.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.001}",0.01,99.74,100.0,5.25,19.5,61.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.0001}",0.03,99.61,100.0,5.03,19.5,69.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.001}",0.02,99.87,100.0,5.0,22.0,70.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.1,98.7,99.87,4.18,17.0,65.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.11,98.31,99.87,4.24,16.0,67.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.04,99.48,100.0,5.13,19.0,57.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.02,99.61,99.87,4.91,20.0,64.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.0001}",0.02,99.87,100.0,5.11,21.5,60.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.001}",0.02,99.74,100.0,5.4,18.5,59.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.0001}",0.01,100.0,100.0,5.26,18.0,64.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.001}",0.01,100.0,100.0,5.03,19.5,66.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.0001}",0.85,75.39,99.22,3.31,16.5,67.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.001}",0.04,99.35,100.0,5.11,19.5,67.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.01,100.0,100.0,5.6,18.0,66.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.01,100.0,100.0,5.63,17.0,64.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.01,100.0,100.0,5.8,18.5,69.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.01,100.0,100.0,5.92,16.0,64.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",2.88,7.16,33.59,2.9,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",2.88,7.68,33.46,2.91,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",2.88,6.77,34.51,2.91,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",2.88,6.9,33.59,2.91,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",2.88,7.29,33.33,2.91,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",2.88,7.55,33.85,2.9,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.0,100.0,100.0,5.66,21.0,67.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.0,100.0,100.0,6.11,14.5,67.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.0001}",2.73,11.85,47.4,2.94,7.5,34.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.001}",2.57,17.84,57.55,3.03,5.5,37.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.0001}",2.88,7.16,32.68,2.91,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.001}",2.88,8.33,32.55,2.9,8.0,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.0001}",2.87,8.07,36.72,2.9,8.5,31.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.001}",2.88,7.16,33.72,2.91,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.0001}",2.88,7.42,32.94,2.91,6.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.001}",2.87,7.94,33.33,2.91,6.5,28.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.01,99.87,100.0,5.98,18.5,67.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.0,100.0,100.0,6.3,14.5,67.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.0001}",2.72,13.28,49.48,2.97,5.0,34.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.001}",2.88,6.9,33.72,2.91,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.0001}",2.88,7.03,33.98,2.91,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.001}",2.79,9.38,40.89,2.99,5.0,31.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.0001}",2.88,7.29,32.81,2.91,7.0,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.001}",2.88,6.9,32.42,2.91,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.0001}",2.88,6.77,32.68,2.91,8.5,27.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.001}",2.88,7.16,33.46,2.91,8.5,27.0
