param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.84,77.86,98.44,3.19,17.5,65.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.84,78.52,98.18,3.08,17.0,69.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.6,85.68,97.92,3.5,14.0,65.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.61,83.85,98.7,3.55,19.5,65.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.25,95.83,99.87,4.34,15.5,71.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.27,94.79,99.74,4.06,20.5,71.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.19,96.48,100.0,4.46,14.5,75.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.19,95.96,99.87,4.23,16.0,72.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.18,95.31,99.61,4.32,15.5,58.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.14,96.88,99.74,3.94,19.5,66.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.12,97.53,99.87,4.18,18.5,68.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.12,97.27,99.61,4.1,19.5,69.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.05,98.83,99.87,4.97,17.0,67.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.06,98.18,100.0,4.94,17.5,64.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.07,98.44,100.0,5.62,18.0,67.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.09,97.92,99.87,5.49,19.5,73.0
