param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",1.81,54.69,88.41,2.89,9.0,39.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",1.75,57.68,90.36,2.88,9.0,41.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",1.75,59.11,90.89,2.88,7.5,40.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",1.74,57.29,91.15,2.88,10.5,41.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",1.68,59.24,91.67,2.86,10.0,43.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",1.64,60.81,92.45,2.8,14.0,50.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",1.6,62.63,91.67,2.81,12.5,43.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",1.61,63.93,92.84,2.83,11.5,43.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",1.56,64.19,93.75,2.82,8.5,45.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",1.58,64.97,93.1,2.8,9.5,47.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.72,83.46,97.27,3.87,9.0,44.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.67,84.51,98.05,3.79,9.0,43.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.72,81.9,96.48,3.83,9.5,45.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.72,83.07,97.53,3.82,9.0,41.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.6,83.85,98.05,3.78,11.5,44.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.57,85.81,98.31,3.78,10.0,50.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.55,86.33,97.92,3.79,11.5,45.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.54,87.5,98.44,3.91,10.0,44.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.5,87.89,97.4,3.79,12.0,49.5
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.62,84.77,97.27,3.81,11.5,46.5
