param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",1.14,61.59,98.31,1.84,23.5,89.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",1.1,64.19,98.57,1.88,22.5,90.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.21,93.88,100.0,2.84,29.0,92.5
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.18,95.18,99.87,2.89,26.0,92.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.79,75.26,99.61,1.79,29.0,93.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.79,77.86,99.22,1.85,30.0,93.5
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.14,96.22,100.0,3.13,25.5,95.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.13,96.09,100.0,2.73,29.5,93.5
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.61,83.72,99.74,1.93,33.0,94.5
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.63,81.9,99.74,1.99,35.5,94.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.08,97.66,100.0,3.1,33.5,91.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.08,98.31,99.74,3.27,27.5,93.5
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.39,90.49,99.87,2.5,31.0,96.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.4,88.67,99.87,2.57,33.0,94.5
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.19,14.06,60.68,2.2,10.0,58.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.19,11.2,61.59,2.19,11.0,58.0
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.12,97.14,100.0,2.87,34.5,92.5
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.18,95.7,100.0,3.04,32.5,96.0
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",2.19,13.54,60.42,2.2,10.0,58.0
