param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.43,87.89,99.74,2.44,33.0,95.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.51,84.51,99.48,2.17,32.5,94.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.07,98.05,100.0,2.96,30.0,94.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.06,98.7,100.0,3.04,31.0,95.5
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.12,97.4,100.0,3.09,35.0,97.5
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.16,95.44,100.0,2.88,32.0,97.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",2.19,13.02,60.68,2.2,11.0,58.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",1.64,30.34,92.32,2.37,19.5,79.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.11,96.74,100.0,3.3,35.5,96.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.05,98.96,100.0,3.24,33.5,95.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",2.19,13.54,61.07,2.2,10.0,58.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",1.43,39.19,97.14,2.75,16.5,77.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.05,98.57,100.0,3.42,32.5,94.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.06,98.96,100.0,3.43,35.5,95.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",2.17,14.84,64.19,2.18,11.0,62.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",1.55,32.16,94.66,2.21,20.5,80.0
