param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.92,65.62,98.57,1.96,25.5,94.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.89,68.36,99.22,1.97,28.0,95.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.76,74.22,99.22,2.03,33.5,94.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.69,78.39,99.35,2.01,30.0,94.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.4,88.67,99.74,2.42,36.0,95.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.39,87.37,99.74,2.1,41.0,98.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.3,91.41,99.87,2.32,37.5,97.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.42,85.42,99.87,2.39,38.5,98.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.36,89.58,99.35,2.49,33.0,94.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.32,91.8,99.61,2.68,27.5,91.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.25,92.45,99.74,2.57,38.0,93.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.22,93.88,100.0,2.4,37.0,95.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.23,93.36,100.0,2.88,41.5,97.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.17,94.53,100.0,2.69,40.0,98.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.23,92.32,99.87,3.6,39.5,99.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.24,91.93,100.0,3.66,38.0,98.5
