param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",1.48,50.65,95.96,2.04,20.5,79.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",1.48,52.08,94.79,2.03,21.0,77.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",1.46,49.48,95.83,2.04,20.5,79.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",1.48,50.39,95.31,2.04,20.5,78.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",1.36,56.9,96.35,1.99,24.5,82.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",1.39,56.38,96.48,2.02,22.5,81.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",1.37,54.95,96.88,2.01,22.5,80.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",1.36,55.47,96.35,2.03,19.5,81.5
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",1.31,59.24,97.14,2.02,25.0,80.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",1.34,57.29,95.96,2.02,21.0,81.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.83,75.78,98.18,2.44,20.5,81.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.83,75.13,98.7,2.43,22.0,84.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.83,76.3,98.31,2.45,21.0,78.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.86,72.66,98.05,2.51,21.5,80.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.8,75.78,98.57,2.51,20.5,79.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.77,75.39,98.7,2.51,20.5,80.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.72,80.08,98.7,2.49,21.0,81.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.64,82.03,98.83,2.59,22.0,79.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.66,81.38,99.09,2.62,23.5,80.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.68,79.56,97.92,2.6,22.5,76.5
