param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.19,98.83,100.0,2.43,49.0,79.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.17,99.61,100.0,2.44,49.5,78.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.57,52.5,80.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.55,55.0,80.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.18,98.83,100.0,2.42,51.0,79.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.19,99.48,100.0,2.43,49.5,77.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.53,54.0,79.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.63,52.5,77.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.15,99.74,99.87,2.43,50.5,79.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.15,100.0,100.0,2.42,49.5,78.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.59,53.5,79.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.66,51.5,78.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.12,100.0,100.0,2.41,51.0,77.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.15,99.61,100.0,2.42,49.5,78.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,2.55,51.0,79.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.65,50.5,78.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.09,99.74,100.0,2.45,51.5,77.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.09,99.87,100.0,2.5,50.0,77.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,2.66,53.5,79.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,2.68,53.0,78.5
