param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.19,99.22,100.0,2.41,54.5,79.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.19,99.35,100.0,2.41,50.0,78.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.55,51.5,79.5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.54,51.5,79.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.17,99.48,100.0,2.41,48.0,81.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.16,99.74,99.87,2.4,52.0,80.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.53,54.0,79.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.56,52.0,79.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.14,99.74,100.0,2.41,50.5,79.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.14,99.48,100.0,2.38,47.5,80.0
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.62,51.0,80.0
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,2.68,50.5,77.0
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.11,100.0,100.0,2.6,47.0,76.5
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.09,99.74,100.0,2.42,49.0,79.5
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.69,51.5,78.5
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,2.74,52.0,79.5
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.11,99.61,100.0,2.62,44.0,72.5
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.11,100.0,100.0,2.69,45.0,75.5
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",5.42,2.08,9.38,6.24,1.5,4.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.8,49.0,78.5
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.15,99.61,100.0,2.42,51.5,77.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.16,99.74,99.87,2.42,48.5,79.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.55,53.0,80.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.53,52.5,80.0
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.13,99.61,100.0,2.39,50.5,79.0
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.14,99.22,100.0,2.44,50.5,77.0
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,2.6,50.0,79.5
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,2.6,50.5,79.0
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.09,99.87,100.0,2.42,50.5,78.0
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.11,99.61,100.0,2.46,50.5,78.5
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.7,51.5,76.0
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,2.8,50.0,76.0
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.08,99.87,100.0,2.54,48.5,76.0
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.07,99.87,100.0,2.54,46.5,77.0
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,2.8,48.0,78.5
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,2.86,51.5,76.0
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.08,100.0,100.0,3.1,40.0,65.5
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.1,99.87,100.0,3.24,36.5,66.0
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",5.43,2.21,9.51,6.23,0.5,4.5
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",5.46,2.6,9.51,6.31,0.5,4.5
"{'fact_dim': 64, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.13,99.74,100.0,2.38,53.0,79.0
"{'fact_dim': 64, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.12,100.0,100.0,2.42,50.5,79.0
"{'fact_dim': 64, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,2.54,48.5,78.5
"{'fact_dim': 64, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.57,48.5,78.5
"{'fact_dim': 64, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.11,100.0,100.0,2.42,49.0,78.5
"{'fact_dim': 64, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.1,99.87,100.0,2.44,48.5,79.5
"{'fact_dim': 64, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,2.75,46.0,79.0
"{'fact_dim': 64, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,2.8,48.0,75.5
"{'fact_dim': 64, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.06,99.87,100.0,2.5,48.0,78.5
"{'fact_dim': 64, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.07,99.87,100.0,2.54,47.0,78.0
"{'fact_dim': 64, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,3.04,45.5,74.5
"{'fact_dim': 64, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,2.98,46.0,75.0
"{'fact_dim': 64, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.05,100.0,100.0,2.77,46.5,71.5
"{'fact_dim': 64, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.05,100.0,100.0,2.76,44.5,75.0
"{'fact_dim': 64, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",5.35,2.08,8.85,6.25,2.5,5.5
"{'fact_dim': 64, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",5.43,2.86,9.77,6.32,0.5,4.5
"{'fact_dim': 64, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.05,100.0,100.0,3.56,31.0,56.0
"{'fact_dim': 64, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.04,100.0,100.0,3.69,30.5,60.5
"{'fact_dim': 64, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",5.46,1.69,9.24,6.21,0.5,5.5
"{'fact_dim': 64, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",5.46,2.99,9.38,6.31,0.5,4.5
