param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.15,99.74,100.0,2.47,50.5,80.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.16,99.87,100.0,2.51,50.5,78.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,2.66,51.5,77.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,2.66,49.5,78.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.09,100.0,100.0,2.55,48.0,80.5
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.09,99.87,100.0,2.52,51.0,77.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,3.16,43.0,73.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,3.13,44.0,73.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.08,99.87,100.0,2.6,48.0,75.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.07,100.0,100.0,2.58,48.0,76.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",4.77,3.91,16.41,6.62,1.5,5.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",3.9,14.84,37.24,7.36,1.5,5.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.05,100.0,100.0,2.6,48.5,77.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.05,100.0,100.0,2.65,46.0,74.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",5.16,2.21,11.46,6.53,1.5,5.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",4.16,11.2,29.04,6.99,1.5,5.0
