param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.28,98.83,100.0,2.44,51.5,79.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.32,98.44,99.87,2.47,51.5,77.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.74,99.87,2.73,52.5,77.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,2.64,52.5,78.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.23,99.09,99.87,2.43,51.5,78.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.24,98.83,100.0,2.43,50.0,78.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.7,51.5,78.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,2.65,50.5,78.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.17,99.74,100.0,2.41,47.0,79.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.18,99.09,99.87,2.44,50.0,76.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,2.68,50.5,77.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.68,51.0,77.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.13,99.48,99.87,2.63,48.0,74.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.14,99.87,100.0,2.58,46.0,74.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.91,46.5,73.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.93,44.5,72.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.29,98.57,99.87,2.43,51.5,78.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.29,98.18,100.0,2.44,50.0,78.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,2.61,53.0,77.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,2.62,51.5,77.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.21,99.35,100.0,2.37,51.5,80.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.21,98.7,99.87,2.38,50.5,78.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,2.73,52.0,76.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.65,51.0,78.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.14,99.74,100.0,2.47,47.5,77.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.15,99.87,100.0,2.44,49.5,77.0
