param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.21,98.96,100.0,2.54,50.5,76.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.22,98.96,100.0,2.6,49.0,76.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.19,99.48,99.74,2.68,46.0,76.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.2,99.48,100.0,2.65,47.5,76.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.17,99.61,100.0,3.1,39.5,67.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.18,99.48,100.0,3.06,41.0,67.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.17,99.61,100.0,3.34,33.0,62.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.17,99.35,100.0,3.33,35.5,61.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.02,99.87,100.0,2.63,52.0,80.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.01,99.87,100.0,2.66,51.5,79.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.02,99.87,99.87,2.78,49.5,77.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.01,99.87,100.0,2.75,52.0,79.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.01,99.87,100.0,2.88,48.5,73.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.01,100.0,100.0,2.9,49.5,74.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.01,100.0,100.0,2.95,47.5,74.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.01,100.0,100.0,2.96,48.0,73.5
