param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.44,97.53,99.87,2.72,49.0,75.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.42,97.66,100.0,2.7,48.5,76.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.39,97.92,99.87,2.7,49.5,77.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.38,99.09,99.87,2.72,49.5,75.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.36,98.44,100.0,2.71,48.0,77.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.36,98.44,99.87,2.72,49.0,76.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.37,98.44,99.87,2.72,48.0,77.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.33,98.7,100.0,2.73,49.5,76.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.36,98.31,99.87,2.73,49.5,76.5
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.36,98.18,100.0,2.73,49.0,77.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.02,99.87,100.0,2.75,48.5,76.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.04,99.48,99.87,2.75,51.0,77.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.02,99.74,100.0,2.71,51.0,76.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.04,99.61,100.0,2.65,53.0,78.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.04,99.48,99.87,2.71,52.0,78.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.02,100.0,100.0,2.69,50.0,79.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.02,99.87,100.0,2.71,51.5,77.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.02,99.87,100.0,2.65,49.5,78.5
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.03,100.0,100.0,2.63,51.5,78.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.03,99.74,100.0,2.69,52.0,78.5
