param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.12,97.27,100.0,0.55,86.0,98.5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.12,96.35,99.74,0.6,82.5,98.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.03,99.61,99.87,0.65,87.5,96.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.03,99.09,100.0,0.63,87.5,98.5
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.03,99.61,100.0,0.66,86.5,98.5
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.04,99.09,99.74,0.57,87.5,97.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",2.23,20.31,64.06,2.22,23.0,64.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",2.23,20.31,64.71,2.21,23.0,64.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.03,99.35,100.0,0.72,85.5,98.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.59,86.5,98.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",2.23,19.79,65.23,2.21,23.0,64.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",2.22,19.92,64.19,2.21,23.0,64.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.01,100.0,100.0,0.62,87.5,97.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.01,100.0,100.0,0.58,87.0,98.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",2.16,21.09,71.48,2.22,22.5,64.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",2.23,20.05,63.54,2.22,23.0,64.5
