param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.75,77.08,97.66,0.85,69.5,96.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.68,79.95,97.14,0.78,74.5,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.04,98.57,100.0,0.69,87.0,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.05,98.44,100.0,0.68,85.0,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.3,92.19,99.48,0.6,83.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.34,89.58,99.61,0.62,82.5,98.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.03,98.96,99.87,0.57,87.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.02,99.22,100.0,0.51,89.5,99.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.09,97.79,99.87,0.59,85.5,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.11,96.88,99.48,0.55,87.0,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.04,98.83,100.0,0.54,86.5,98.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.04,98.96,100.0,0.59,89.0,98.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.04,98.83,100.0,0.5,90.0,98.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.04,99.48,100.0,0.51,87.0,98.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.08,98.31,100.0,0.38,90.5,98.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.23,19.79,64.06,2.22,23.0,64.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.58,82.42,99.35,0.7,77.0,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.58,82.29,98.7,0.71,76.5,97.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.05,98.7,99.87,0.77,86.0,96.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.04,99.35,99.74,0.72,86.0,97.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.2,95.31,99.35,0.57,85.5,98.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.19,94.79,99.74,0.64,83.5,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.48,100.0,0.57,88.5,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,0.58,87.0,99.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.05,99.09,100.0,0.58,88.5,97.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.06,98.44,99.87,0.59,87.0,97.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.04,98.83,100.0,0.63,87.5,97.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.07,97.92,99.87,0.54,88.5,97.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.03,99.09,100.0,0.41,91.5,99.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.03,98.83,100.0,0.56,88.5,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.23,20.05,64.84,2.22,23.0,64.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.23,20.18,64.71,2.22,23.0,64.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.4,88.8,99.48,0.61,80.5,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.41,89.84,99.48,0.64,82.0,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.09,100.0,0.77,87.0,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.03,98.96,99.74,0.64,87.0,98.0
