param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.4,87.89,98.57,0.59,79.5,97.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.31,92.45,99.48,0.59,85.5,98.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.18,95.7,99.48,0.58,86.5,97.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.22,93.75,99.48,0.56,86.0,98.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.09,97.66,99.87,0.58,87.0,97.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.04,99.35,100.0,0.52,90.0,98.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.06,98.83,100.0,0.71,86.5,98.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.08,98.05,99.87,0.8,81.0,97.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.1,97.14,99.61,0.42,89.0,98.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.06,98.57,100.0,0.43,87.5,98.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.06,98.57,99.87,0.48,89.0,99.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.04,99.09,99.87,0.51,87.5,98.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.02,99.61,100.0,0.57,88.5,98.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.02,99.48,100.0,0.56,88.5,98.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.01,99.87,100.0,0.59,89.5,99.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.02,99.35,99.74,0.56,89.0,98.0
