param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",1.23,65.76,95.18,1.37,56.5,90.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",1.18,64.58,94.79,1.25,60.5,92.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",1.13,67.06,95.44,1.21,62.5,93.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",1.16,66.67,95.83,1.32,57.5,94.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.85,75.91,97.4,1.02,64.5,95.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.84,78.26,97.92,0.98,67.5,95.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.8,76.69,97.79,0.98,69.0,96.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.83,77.47,97.53,0.96,69.0,96.5
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.78,79.56,98.44,0.94,66.0,96.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.84,77.34,97.53,0.96,68.0,96.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.64,80.73,98.57,1.61,50.5,90.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.61,83.07,98.83,1.58,49.0,88.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.46,87.76,98.96,1.08,64.5,97.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.48,87.89,98.44,1.02,68.5,95.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.35,91.02,98.7,1.04,67.0,95.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.3,93.1,99.09,0.85,70.0,94.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.28,92.71,99.48,0.97,68.0,97.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.34,90.23,98.83,1.06,67.5,95.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.32,91.28,98.83,0.93,68.5,96.5
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.37,89.84,98.7,0.91,70.5,97.0
