param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",1.906,87.032,98.59599999999999,2.406,57.779999999999994,90.224
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",3.074,72.968,95.936,3.2700000000000005,46.222,82.22200000000001
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",2.402,84.532,97.66,2.768,53.775999999999996,89.33399999999999
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",2.384,82.97,96.718,2.774,52.444,89.332
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",3.2760000000000007,63.124,90.468,3.374,36.444,73.77799999999999
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",3.278,61.09400000000001,88.59400000000001,3.342,47.112,76.444
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",2.72,79.532,96.25,2.882,51.11,87.10999999999999
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",2.75,75.0,95.46600000000001,2.8880000000000003,53.33,84.0
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",3.414,50.312,82.5,3.434,36.004000000000005,69.77600000000001
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",3.4240000000000004,50.312,82.032,3.4300000000000006,39.112,70.222
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",2.976,70.47,91.56199999999998,3.006,50.224000000000004,80.89
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",2.99,67.498,91.876,2.984,48.0,82.668
