param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.0001}",3.276,61.562,90.78,3.402,38.668,73.332
"{'drop_path_rate': 0, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.001}",3.276,63.436,91.25000000000001,3.404000000000001,36.001999999999995,69.77799999999999
"{'drop_path_rate': 0, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",2.834,70.624,95.47,3.066,47.998000000000005,80.0
"{'drop_path_rate': 0, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",2.816,74.376,95.314,3.074,44.446,80.44399999999999
"{'drop_path_rate': 0, 'fact_scaler': 1, 'lr': 0.0005, 'wd': 0.0001}",3.274,65.15400000000001,91.40599999999999,3.408,36.0,71.556
"{'drop_path_rate': 0, 'fact_scaler': 1, 'lr': 0.0005, 'wd': 0.001}",3.276,64.376,89.374,3.3939999999999997,36.89,71.55600000000001
"{'drop_path_rate': 0, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",2.714,74.84400000000001,96.40599999999999,2.978,48.888,83.554
"{'drop_path_rate': 0, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",2.6799999999999997,76.874,96.72,2.992,43.553999999999995,78.666
"{'drop_path_rate': 0.1, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.0001}",3.3980000000000006,50.312,82.34400000000001,3.4559999999999995,31.112000000000002,69.33400000000002
"{'drop_path_rate': 0.1, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.001}",3.396,54.374,84.68800000000002,3.4619999999999997,34.664,68.44399999999999
"{'drop_path_rate': 0.1, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",3.0279999999999996,70.626,92.97,3.154,45.334,77.776
"{'drop_path_rate': 0.1, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",3.028,68.436,89.532,3.148,41.78,77.334
"{'drop_path_rate': 0.1, 'fact_scaler': 1, 'lr': 0.0005, 'wd': 0.0001}",3.3839999999999995,54.686,87.03,3.45,34.21999999999999,72.00000000000001
"{'drop_path_rate': 0.1, 'fact_scaler': 1, 'lr': 0.0005, 'wd': 0.001}",3.3920000000000003,53.90599999999999,83.438,3.4560000000000004,35.112,70.22200000000001
"{'drop_path_rate': 0.1, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",2.99,67.65799999999999,92.81400000000001,3.1060000000000003,46.222,77.334
"{'drop_path_rate': 0.1, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",2.9880000000000004,66.718,93.124,3.1019999999999994,45.331999999999994,79.558
"{'drop_path_rate': 0.2, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.0001}",3.4760000000000004,42.028000000000006,77.65599999999999,3.492,32.888,68.888
"{'drop_path_rate': 0.2, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.001}",3.4800000000000004,43.438,77.18799999999999,3.4939999999999998,30.665999999999997,64.0
"{'drop_path_rate': 0.2, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",3.194,60.312,87.5,3.2359999999999998,40.89,70.22200000000001
"{'drop_path_rate': 0.2, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",3.196,59.376,87.814,3.2439999999999998,41.332,73.33399999999999
"{'drop_path_rate': 0.2, 'fact_scaler': 1, 'lr': 0.0005, 'wd': 0.0001}",3.4880000000000004,44.22,76.878,3.498,32.446000000000005,65.332
"{'drop_path_rate': 0.2, 'fact_scaler': 1, 'lr': 0.0005, 'wd': 0.001}",3.4859999999999998,43.592,77.96799999999999,3.5020000000000002,29.334000000000003,68.89000000000001
"{'drop_path_rate': 0.2, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",3.162,61.718,90.31200000000001,3.194,41.778000000000006,74.666
"{'drop_path_rate': 0.2, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",3.162,60.78399999999999,88.90799999999999,3.2020000000000004,40.89,77.332
