param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.08199999999999999,99.84400000000001,100.0,1.316,64.88799999999999,89.776
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.08,99.532,99.84400000000001,1.344,65.77799999999999,90.66399999999999
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.04,99.53200000000001,100.0,1.796,60.0,84.88999999999999
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.034,99.532,100.0,1.8520000000000003,57.33399999999999,82.666
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.098,99.53200000000001,100.0,1.228,67.998,92.89
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.098,99.68800000000002,100.0,1.1940000000000002,68.44399999999999,93.334
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.07999999999999999,98.594,99.84400000000001,1.8059999999999998,58.224000000000004,87.114
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.05600000000000001,99.064,99.84400000000001,1.612,62.222,86.222
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.12,99.532,100.0,1.2,69.33200000000001,91.554
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.128,99.376,100.0,1.194,66.668,92.0
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.084,98.43800000000002,99.68800000000002,1.5639999999999998,58.222,89.334
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.048,99.532,99.84400000000001,1.666,57.336,88.444
