param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",2.582,79.84200000000001,96.09199999999998,2.902,45.775999999999996,83.112
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",2.58,78.122,98.128,2.9099999999999997,46.222,82.22
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",1.798,84.84599999999999,97.65599999999999,2.3560000000000003,50.221999999999994,83.112
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",2.82,73.748,96.25,3.08,43.112,80.444
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",3.3980000000000006,50.315999999999995,83.438,3.4539999999999997,34.222,66.666
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",3.3920000000000003,53.436,87.80999999999999,3.4519999999999995,34.221999999999994,70.224
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",3.036,67.81000000000002,91.25,3.178,36.886,74.224
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",3.04,68.43799999999999,88.75,3.152,46.668000000000006,75.112
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",3.4859999999999998,44.532,76.56199999999998,3.5,27.112000000000002,64.444
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",3.4900000000000007,43.282,76.252,3.4959999999999996,33.778000000000006,63.10999999999999
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",3.2040000000000006,59.376,86.09599999999999,3.2399999999999998,37.331999999999994,73.334
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",3.2060000000000004,60.001999999999995,88.90799999999999,3.2299999999999995,44.002,74.224
