param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",3.178,62.970000000000006,91.562,3.35,39.55800000000001,74.224
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",3.214,66.248,90.78,3.35,39.556,78.226
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",2.4799999999999995,80.468,96.406,2.814,49.33200000000001,84.0
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",2.506,79.68800000000002,97.032,2.818,52.444,82.22200000000001
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",3.3619999999999997,53.44,86.09200000000001,3.4260000000000006,35.556000000000004,68.0
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",3.346,55.31,86.406,3.4120000000000004,35.556000000000004,71.554
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",2.832,72.97,95.0,2.96,46.668,83.556
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",2.8200000000000003,70.468,95.626,2.966,46.224000000000004,80.0
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",3.466,46.25,78.90599999999999,3.4760000000000004,29.333999999999996,67.554
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",3.472,46.094,77.5,3.4899999999999998,27.112000000000002,64.0
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",3.098,62.968,91.094,3.0959999999999996,45.778000000000006,80.446
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",3.0759999999999996,65.624,92.34400000000001,3.0940000000000003,42.664,81.33399999999999
