param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_scaler': 0.1, 'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",1.5820000000000003,89.218,99.22,2.118,59.556,88.888
"{'adapter_scaler': 0.1, 'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",1.5939999999999999,88.75,98.126,2.146,54.666,89.334
"{'adapter_scaler': 0.1, 'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.52,97.032,99.532,1.346,68.88799999999999,93.33200000000001
"{'adapter_scaler': 0.1, 'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.5479999999999999,96.40799999999999,99.53200000000001,1.3519999999999999,67.554,93.776
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",2.482,72.65799999999999,92.968,2.518,53.778,85.77799999999999
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",2.45,73.59400000000001,94.22,2.526,51.11,84.88799999999999
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",1.3,86.874,99.376,1.6219999999999999,67.556,91.558
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",1.304,87.5,98.128,1.626,64.444,88.888
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",2.968,62.186,90.466,2.896,43.998000000000005,76.89
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",3.004,59.84400000000001,88.124,2.902,43.556,77.332
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",1.9459999999999997,76.718,96.09400000000001,2.036,56.888,86.66599999999998
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",1.984,75.31199999999998,96.09200000000001,2.028,56.89000000000001,85.332
"{'adapter_scaler': 1, 'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.8019999999999999,96.876,99.376,1.572,67.55600000000001,91.10999999999999
"{'adapter_scaler': 1, 'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.794,97.18999999999998,99.376,1.55,68.0,93.776
"{'adapter_scaler': 1, 'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.194,98.596,99.84400000000001,1.124,70.224,91.55600000000001
"{'adapter_scaler': 1, 'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.19,98.282,99.84400000000001,1.136,68.44399999999999,93.77799999999999
"{'adapter_scaler': 1, 'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",1.6900000000000002,84.84200000000001,98.126,1.938,59.556000000000004,87.554
"{'adapter_scaler': 1, 'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",1.666,86.09400000000001,97.97200000000001,1.9259999999999997,60.0,89.33399999999999
"{'adapter_scaler': 1, 'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.58,96.564,99.376,1.1860000000000004,70.668,95.112
"{'adapter_scaler': 1, 'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",2.386,72.502,95.782,2.4899999999999998,53.33200000000001,86.66399999999999
"{'adapter_scaler': 1, 'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",3.5159999999999996,35.468,69.84200000000001,3.46,28.444,64.0
"{'adapter_scaler': 1, 'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",3.5199999999999996,35.314,71.874,3.472,29.778,63.553999999999995
"{'adapter_scaler': 1, 'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",2.968,55.94,82.814,2.904,43.112,75.11
"{'adapter_scaler': 1, 'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",3.0,53.44,86.09599999999999,2.9440000000000004,36.89,75.99799999999999
