param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",1.6439999999999997,90.936,99.376,2.256,56.89,89.78
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",1.6919999999999997,89.84599999999998,98.28399999999999,2.296,58.220000000000006,87.556
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.564,96.40599999999999,99.22,1.494,65.33400000000002,93.77599999999998
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.582,95.624,99.376,1.5139999999999998,63.11,91.112
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",2.1399999999999997,84.06200000000001,98.126,2.4480000000000004,55.11,89.334
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",2.216,82.5,96.564,2.478,56.00200000000001,88.89
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.9899999999999999,91.25,99.53200000000001,1.552,65.77799999999999,92.0
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.984,93.282,98.59599999999999,1.574,64.444,91.55600000000001
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",2.556,76.71799999999999,95.784,2.628,54.222,87.556
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",2.532,76.56199999999998,95.78,2.62,55.556,85.332
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",1.4,87.65599999999999,97.65799999999999,1.714,64.444,91.55600000000001
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",1.346,87.502,98.596,1.714,59.11,91.55600000000001
