param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.27,91.99,99.06,0.18,94.96,99.76
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.26,92.09,99.09,0.18,94.96,99.72
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.21,93.92,99.35,0.15,95.36,99.8
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.21,93.85,99.32,0.15,95.48,99.84
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.33,90.61,98.88,0.17,95.0,99.76
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.33,90.58,98.78,0.17,94.92,99.76
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.26,92.4,99.1,0.15,95.28,99.92
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.27,92.18,99.05,0.15,95.44,99.88
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.38,89.03,98.44,0.19,94.17,99.68
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.37,89.28,98.47,0.18,94.48,99.8
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.3,91.4,98.77,0.15,95.4,99.8
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.3,91.18,98.83,0.15,95.6,99.72
