param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.06,98.15,99.78,0.11,96.87,99.84
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.06,98.25,99.79,0.12,96.79,99.76
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.08,97.54,99.71,0.15,95.83,99.8
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.08,97.6,99.77,0.14,95.95,99.56
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.07,97.96,99.79,0.11,97.02,99.8
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.07,97.8,99.68,0.11,97.18,99.8
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.09,97.39,99.69,0.14,96.07,99.64
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.09,97.27,99.68,0.14,95.75,99.76
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.08,97.59,99.77,0.1,97.02,99.88
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.08,97.51,99.74,0.11,96.98,99.76
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.1,97.03,99.62,0.14,95.48,99.76
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.1,97.15,99.68,0.13,96.43,99.76
