param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.61,83.24,96.9,0.49,86.51,98.13
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.61,83.22,96.77,0.49,86.59,98.17
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.52,85.35,97.53,0.41,88.45,98.77
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.51,85.66,97.64,0.41,88.57,98.73
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.72,80.38,95.86,0.5,86.23,98.06
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.72,80.22,96.16,0.5,85.99,97.94
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.62,82.85,96.9,0.42,88.45,98.73
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.62,82.56,96.74,0.42,88.37,98.61
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.84,77.5,94.94,0.52,85.91,97.9
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.83,77.67,94.96,0.52,85.83,97.82
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.72,80.15,95.82,0.44,87.42,98.53
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.74,79.48,95.82,0.44,87.5,98.49
