param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.25,92.58,99.15,0.16,95.4,99.92
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.25,92.59,99.17,0.16,95.0,99.76
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.2,93.91,99.22,0.14,95.87,99.88
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.2,94.15,99.36,0.14,95.67,99.76
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.35,90.05,98.62,0.17,94.84,99.76
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.34,90.3,98.5,0.17,94.8,99.64
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.27,91.96,98.93,0.14,95.83,99.84
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.27,92.15,98.98,0.14,95.4,99.72
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.39,88.74,98.37,0.18,94.44,99.72
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.4,88.6,98.26,0.19,94.37,99.72
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.33,90.37,98.71,0.15,95.12,99.64
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.32,90.46,98.74,0.16,95.24,99.84
