param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.2,93.98,99.27,0.13,96.15,99.8
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.2,93.98,99.22,0.13,95.79,99.88
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.14,95.76,99.55,0.11,96.51,99.88
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.15,95.6,99.51,0.11,96.43,99.88
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.24,92.76,99.14,0.14,95.91,99.88
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.24,92.86,99.17,0.13,95.83,99.88
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.18,94.43,99.38,0.11,96.23,99.88
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.19,94.39,99.29,0.11,96.51,99.92
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.28,91.75,98.95,0.14,95.52,99.76
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.28,91.76,98.92,0.14,95.52,99.8
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.21,93.8,99.3,0.12,96.19,99.88
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.21,93.69,99.32,0.12,96.11,99.92
